iter	Passed	Remaining
1501	9855	55761
1502	9861	55751
1503	9867	55741
1504	9873	55732
1505	9879	55720
1506	9885	55712
1507	9891	55701
1508	9898	55696
1509	9904	55688
1510	9911	55684
1511	9917	55674
1512	9923	55666
1513	9930	55661
1514	9937	55654
1515	9943	55646
1516	9949	55636
1517	9955	55630
1518	9962	55625
1519	9968	55616
1520	9976	55615
1521	9983	55608
1522	9989	55601
1523	9996	55598
1524	10018	55676
1525	10025	55670
1526	10032	55668
1527	10039	55662
1528	10045	55655
1529	10052	55649
1530	10059	55647
1531	10066	55640
1532	10072	55634
1533	10079	55627
1534	10086	55621
1535	10093	55618
1536	10100	55612
1537	10106	55602
1538	10113	55598
1539	10120	55595
1540	10126	55589
1541	10132	55579
1542	10138	55568
1543	10144	55557
1544	10150	55547
1545	10156	55541
1546	10162	55530
1547	10169	55522
1548	10174	55512
1549	10180	55501
1550	10186	55490
1551	10192	55482
1552	10200	55479
1553	10205	55466
1554	10211	55459
1555	10218	55453
1556	10225	55446
1557	10231	55437
1558	10237	55430
1559	10243	55421
1560	10250	55414
1561	10257	55410
1562	10264	55407
1563	10270	55396
1564	10276	55389
1565	10282	55381
1566	10289	55376
1567	10296	55370
1568	10303	55364
1569	10310	55361
1570	10317	55355
1571	10323	55350
1572	10330	55342
1573	10337	55337
1574	10343	55328
1575	10350	55323
1576	10357	55319
1577	10363	55311
1578	10370	55307
1579	10377	55301
1580	10383	55295
1581	10391	55294
1582	10398	55287
1583	10404	55281
1584	10411	55277
1585	10419	55277
1586	10426	55271
1587	10437	55290
1588	10447	55299
1589	10455	55303
1590	10461	55293
1591	10467	55283
1592	10473	55272
1593	10479	55262
1594	10485	55251
1595	10490	55241
1596	10497	55235
1597	10504	55231
1598	10510	55223
1599	10517	55218
1600	10523	55206
1601	10530	55201
1602	10536	55193
1603	10543	55186
1604	10549	55181
1605	10557	55178
1606	10563	55172
1607	10571	55170
1608	10577	55164
1609	10584	55160
1610	10591	55151
1611	10597	55142
1612	10603	55133
1613	10609	55125
1614	10616	55121
1615	10622	55113
1616	10629	55104
1617	10636	55103
1618	10643	55096
1619	10649	55090
1620	10655	55081
1621	10662	55076
1622	10668	55067
1623	10675	55058
1624	10681	55050
1625	10687	55042
1626	10694	55037
1627	10701	55030
1628	10707	55025
1629	10714	55019
1630	10721	55012
1631	10727	55006
1632	10735	55004
1633	10742	55001
1634	10750	55000
1635	10756	54993
1636	10763	54987
1637	10770	54982
1638	10776	54974
1639	10783	54969
1640	10790	54964
1641	10796	54957
1642	10803	54950
1643	10810	54945
1644	10816	54938
1645	10822	54929
1646	10828	54920
1647	10835	54913
1648	10842	54907
1649	10848	54898
1650	10854	54888
1651	10860	54880
1652	10866	54871
1653	10872	54864
1654	10879	54859
1655	10885	54849
1656	10892	54841
1657	10898	54833
1658	10904	54826
1659	10911	54819
1660	10917	54811
1661	10924	54804
1662	10930	54797
1663	10937	54792
1664	10944	54786
1665	10950	54780
1666	10957	54776
1667	10964	54771
1668	10972	54768
1669	10978	54761
1670	10984	54753
1671	10991	54747
